,Drug_Name,Reason,Description
0,A CN Gel(Topical) 20gmA CN Soap 75gm,Acne,Mild to moderate acne (spots)
1,A Ret 0.05% Gel 20gmA Ret 0.1% Gel 20gmA Ret 0.025% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
2,ACGEL CL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
3,ACGEL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
4,Acleen 1% Lotion 25ml,Acne,treat the most severe form of acne (nodular acne) 
5,Aclene 0.10% Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
6,Acnay Gel 10gm,Acne,treat the most severe form of acne (nodular acne) 
7,Acne Aid Bar 50gmAcne Aid Bar 100gm,Acne, treat acne vulgaris 
8,Acne UV Gel 60gm,Acne, treat acne vulgaris 
9,Acne UV SPF 30 Gel 30gm,Acne, treat mild to moderate acne(spots)
10,Acnecure Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
11,Acnedap Gel 15gm,Acne,Mild to moderate acne (spots)
12,Acnedap Plus Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
13,Acnehit Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
14,Acnelak Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
15,Acnelak Clz Cream 15gm,Acne,treat the most severe form of acne (nodular acne) 
16,Acnelak Z Lotion 15gm,Acne,treat the most severe form of acne (nodular acne) 
17,Acnemoist Cream 60gm,Acne,treat the most severe form of acne (nodular acne) 
18,Acnerex Soap 75gm,Acne, treat acne vulgaris 
19,Acneril 1% Gel 10gmAcneril Tablet 10Acneril 0.10% Cream 20gm,Acne, treat acne vulgaris 
20,Acnesol 1% Solution 25mlAcnesol Gel 20gmAcnesol Solution 45ml,Acne, treat mild to moderate acne(spots)
21,Acnesol A Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
